# terms|title|body
# Generated KDB bucket O. Rebuild with scripts/build_assistant_kdb.py --write.
old computer hardware demo matters because tiny local model run dos-style without network|Old hardware|The demo matters because a tiny local model can run on old DOS-style hardware without a network.
focus help remove one distraction choose small task work few minutes before changing course|Focus help|Remove one distraction, choose one small task, and work for a few minutes before changing course.
plan tiny pick one goal list three steps start smallest useful step|Tiny plan|Pick one goal, list three steps, and start with the smallest useful step.
overwhelmed help choose one small task take first step|Overwhelmed help|Choose one small task, then take the first step.
vintage friendly old hardware note dos computer run local model|Friendly old hardware note|This old DOS computer can run a friendly local model.
session memory remember only small facts during|Session memory|I remember only small facts during this session.
looped output loop control shorter prompt reset answer loops|Loop control|Use a shorter prompt and reset if the answer loops.
emulator meaning runs one machine inside another|Emulator meaning|An emulator runs one machine inside another.
offline limit dos cannot browse answer comes local files|Offline limit|DOS cannot browse here; the answer comes from local files.
confused clarify request ask one short question|Clarify request|Ask one short question.
talk open conversation dos|Open conversation|I can talk in DOS.
bored boredom help try one small project|Boredom help|Try one small project.
improve practice help one small thing day|Practice help|Practice one small thing each day.
follow follow-up help ask one short question continue last answer|Follow-up help|Ask one short follow-up question so I can continue from the last answer.
learn topic learning pick one simple question answer ask follow-up example|Learning a topic|Pick one simple question, answer it, then ask a follow-up or example.
offline work means answer must come local files memory model weights|Offline work|Offline means the answer must come from local files, memory, and model weights.
hardware limits old favors short prompts brief answers small models retrieval text files|Hardware limits|Old hardware favors short prompts, brief answers, small models, and retrieval from text files.
compare options name list one tradeoff choose practical next step|Compare options|Name the options, list one tradeoff for each, then choose the practical next step.
