# word	part_of_speech	tags
a	determiner	article
an	determiner	article
the	determiner	article
i	pronoun	first_person subject
me	pronoun	first_person object
my	pronoun	first_person possessive
you	pronoun	second_person
your	pronoun	second_person possessive
it	pronoun	third_person neutral
this	pronoun	demonstrative
that	pronoun	demonstrative
we	pronoun	first_person plural
am	verb	be present first_person
are	verb	be present
is	verb	be present
be	verb	be base
can	verb	modal ability
do	verb	auxiliary action
does	verb	auxiliary action
did	verb	auxiliary past
have	verb	auxiliary possession
has	verb	auxiliary possession
use	verb	action
ask	verb	action
answer	verb	action
explain	verb	action
talk	verb	action
chat	verb	action
type	verb	action
run	verb	action
running	verb	action progressive
mean	verb	definition
means	verb	definition
what	question	word
who	question	word
where	question	word
when	question	word
why	question	word
how	question	word
hello	interjection	greeting
hi	interjection	greeting
hey	interjection	greeting
thanks	interjection	gratitude
thank	verb	gratitude
bye	interjection	farewell
goodbye	interjection	farewell
yes	adverb	affirmation
no	adverb	negation
not	adverb	negation
short	adjective	length
small	adjective	size
tiny	adjective	size
local	adjective	location
plain	adjective	style
simple	adjective	style
friendly	adjective	style
clear	adjective	style
one	number	count
two	number	count
question	noun	dialogue
prompt	noun	dialogue
sentence	noun	dialogue
answer	noun	dialogue
reply	noun	dialogue
idea	noun	dialogue
demo	noun	product
model	noun	machine_learning
weights	noun	machine_learning
inference	noun	machine_learning
token	noun	machine_learning
real	adjective	truth
actual	adjective	truth
fake	adjective	truth
live	adjective	status
generated	adjective	machine_learning
script	noun	program
scripted	adjective	program
typed	adjective	dialogue
dos	noun	operating_system
basic	noun	language
qemu	noun	emulator
internet	noun	network
network	noun	network
limit	noun	ability
limits	noun	ability
person	noun	casual
people	noun	casual
friend	noun	casual
family	noun	casual
home	noun	casual
work	noun	casual
school	noun	casual
day	noun	casual
night	noun	casual
morning	noun	casual
evening	noun	casual
time	noun	casual
minute	noun	casual
hour	noun	casual
week	noun	casual
month	noun	casual
year	noun	casual
life	noun	casual
world	noun	casual
place	noun	casual
city	noun	casual
room	noun	casual
house	noun	casual
food	noun	casual
drink	noun	casual
water	noun	casual
coffee	noun	casual
tea	noun	casual
music	noun	casual
song	noun	casual
movie	noun	casual
book	noun	casual
game	noun	casual
story	noun	casual
joke	noun	casual
plan	noun	casual
problem	noun	casual
feeling	noun	casual
mood	noun	casual
worry	noun	casual
hope	noun	casual
goal	noun	casual
task	noun	casual
project	noun	casual
computer	noun	casual
screen	noun	casual
keyboard	noun	casual
monitor	noun	casual
window	noun	casual
cursor	noun	casual
command	noun	casual
menu	noun	casual
history	noun	casual
scroll	noun	casual
package	noun	casual
release	noun	casual
archive	noun	casual
zip	noun	casual
checksum	noun	casual
transfer	noun	casual
hardware	noun	casual
emulator	noun	casual
freedos	noun	casual
transformer	noun	casual
layer	noun	casual
logit	noun	casual
sampler	noun	casual
vocabulary	noun	casual
lexicon	noun	casual
grammar	noun	casual
corpus	noun	casual
training	noun	casual
quality	noun	casual
evidence	noun	casual
runtime	noun	casual
console	noun	casual
terminal	noun	casual
paragraph	noun	casual
phrase	noun	casual
spelling	noun	casual
meaning	noun	casual
context	noun	casual
cache	noun	casual
speed	noun	casual
second	noun	casual
folder	noun	casual
path	noun	casual
drive	noun	casual
batch	noun	casual
autoexec	noun	casual
himem	noun	casual
xms	noun	casual
text	noun	casual
weather	noun	casual
rain	noun	casual
sun	noun	casual
snow	noun	casual
wind	noun	casual
travel	noun	casual
road	noun	casual
map	noun	casual
train	noun	casual
car	noun	casual
bus	noun	casual
money	noun	casual
job	noun	casual
meeting	noun	casual
message	noun	casual
note	noun	casual
letter	noun	casual
age	noun	casual
hobby	noun	casual
art	noun	casual
picture	noun	casual
photo	noun	casual
sound	noun	casual
voice	noun	casual
dream	noun	casual
fact	noun	casual
reason	noun	casual
example	noun	casual
detail	noun	casual
step	noun	casual
list	noun	casual
rule	noun	casual
habit	noun	casual
friendship	noun	casual
trust	noun	casual
care	noun	casual
effort	noun	casual
result	noun	casual
option	noun	casual
advice	noun	casual
choice	noun	casual
color	noun	casual
focus	noun	casual
distraction	noun	casual
practice	noun	casual
energy	noun	casual
health	noun	casual
smile	noun	casual
laugh	noun	casual
puzzle	noun	casual
score	noun	casual
level	noun	casual
player	noun	casual
topic	noun	casual
company	noun	casual
emotion	noun	casual
feel	verb	casual action
