# key|title|body
ask better|Better prompts|Say the goal, give one detail, and ask for the next useful step.
follow up|Follow-up help|Ask one short follow-up question so I can continue from the last answer.
local knowledge|Local knowledge|I answer from local model weights, pack files, session memory, and bundled notes.
useful on small computer|Small-computer usefulness|A tiny local model becomes more useful with retrieval, memory, and quick focused help without a network.
intelligence|Practical intelligence|The assistant combines retrieval, memory, rules, and a tiny local model to produce useful DOS answers.
trust evidence|Trust evidence|Trust comes from visible files, local weights, reproducible tests, and QEMU or hardware logs.
mistake recovery|Mistake recovery|If an answer is wrong, ask a shorter question, switch packs, or give the exact error.
learn topic|Learning a topic|Pick one simple question, answer it, then ask a follow-up or example.
creative idea|Creative help|Ask for one joke, story, plan, name, or idea and keep the prompt short.
memory use|Memory use|Tell me facts with phrases like my name is, we are working on, or I prefer.
pack switch|Pack switching|Use CHAT for conversation, DOSHELP for DOS setup, and OFFICE for writing tasks.
offline work|Offline work|Offline means the answer must come from local files, memory, and model weights.
hardware limits|Hardware limits|Old hardware favors short prompts, brief answers, small models, and retrieval from text files.
release proof|Release proof|Useful release proof includes tests, checksums, logs, asset names, and the final tag target.
next step|Next step|When the task feels large, choose one small next action and test the result.
clarify question|Clarify a request|Ask one direct question only when a missing detail blocks a useful answer.
compare options|Compare options|Name the options, list one tradeoff for each, then choose the practical next step.
plan work|Planning work|Break the job into small steps, do the blocking step first, and verify each result.
summarize text|Summarize text|Keep the decision, evidence, risk, and next action; remove filler.
explain simply|Simple explanation|Use plain words, one example, and a short answer that fits the prompt.
confidence|Confidence signal|Say what is known from local files, what is inferred, and what remains uncertain.
privacy limit|Privacy limit|Local use means prompts stay on this machine unless the user copies them elsewhere.
no web|No web access|Without internet, I cannot fetch news or live facts; use local notes or give the facts in the prompt.
testing mindset|Testing mindset|A useful test has a clear input, expected result, actual result, and pass or fail status.
learn from notes|Learning from notes|Put facts in pack notes or session memory, then ask focused questions about those facts.
local files|Local files|Pack files, model files, logs, checksums, and notes are the assistant's local evidence.
usefulness|Useful answer|A useful answer should be brief, concrete, honest about limits, and easy to act on.
