# terms|title|body
# Generated KDB bucket P. Rebuild with scripts/build_assistant_kdb.py --write.
prompt meaning typed question|Prompt meaning|A prompt is your typed question.
explain mode plain words one example short answer fits prompt|Explain mode|Use plain words, one example, and a short answer that fits the prompt.
bug debug plan start failing command expected result first error line test one small fix|Debug plan|Start with the failing command, expected result, and first error line, then test one small fix.
plan tiny pick one goal list three steps start smallest useful step|Tiny plan|Pick one goal, list three steps, and start with the smallest useful step.
token meaning small piece text model reads writes|Token meaning|A token is a small piece of text that the model reads or writes.
long question prompt limit short prompts work better dos demo|Long prompt limit|Short prompts work better in this DOS demo.
game meaning play rules|Game meaning|A game is play with rules.
improve practice help one small thing day|Practice help|Practice one small thing each day.
ask better questions prompts say goal give one detail next useful step|Better prompts|Say the goal, give one detail, and ask for the next useful step.
intelligence practical assistant combines retrieval memory rules tiny local model produce useful dos answers|Practical intelligence|The assistant combines retrieval, memory, rules, and a tiny local model to produce useful DOS answers.
trust proof evidence comes visible files local weights reproducible tests qemu hardware logs|Trust evidence|Trust proof comes from visible files, local weights, reproducible tests, and QEMU or hardware logs.
learn topic learning pick one simple question answer ask follow-up example|Learning a topic|Pick one simple question, answer it, then ask a follow-up or example.
memory tell facts phrases like name are working prefer|Memory use|Tell me facts with phrases like my name is, we are working on, or I prefer.
pack switch switching chat conversation doshelp dos setup office writing tasks|Pack switching|Use CHAT for conversation, DOSHELP for DOS setup, and OFFICE for writing tasks.
release proof useful includes tests checksums logs asset names final tag target|Release proof|Useful release proof includes tests, checksums, logs, asset names, and the final tag target.
plan work planning break job small steps blocking step first verify result|Planning work|Break the job into small steps, do the blocking step first, and verify each result.
explain simply simple explanation plain words one example short answer fits prompt|Simple explanation|Use plain words, one example, and a short answer that fits the prompt.
privacy limit local means prompts stay machine unless user copies elsewhere|Privacy limit|Local use means prompts stay on this machine unless the user copies them elsewhere.
learn notes learning put facts pack session memory ask focused questions those|Learning from notes|Put facts in pack notes or session memory, then ask focused questions about those facts.
local files pack model logs checksums notes are assistant evidence|Local files|Pack files, model files, logs, checksums, and notes are the assistant's local evidence.
