# terms|title|body
# Generated KDB bucket L. Rebuild with scripts/build_assistant_kdb.py --write.
limits model tiny local|Model limits|I am tiny and local.
demo dos live|DOS demo|The demo is live.
local inference means dos program reads model weights produces answer machine|Local inference|Local inference means the DOS program reads model weights and produces the answer on this machine.
internet network limit cannot browse dos answer local model weights pack files|Network limit|I cannot browse the internet from DOS; I answer from local model weights and pack files.
trust check demo local model weights dos plus visible files tests logs|Trust check|The demo uses local model weights in DOS, plus visible files, tests, and logs.
long question prompt limit short prompts work better dos demo|Long prompt limit|Short prompts work better in this DOS demo.
local meaning means model runs machine|Local meaning|Local means the model runs on this machine.
looped output loop control shorter prompt reset answer loops|Loop control|Use a shorter prompt and reset if the answer loops.
offline limit dos cannot browse answer comes local files|Offline limit|DOS cannot browse here; the answer comes from local files.
status demo live|Demo status|The demo is live.
life meaning topic comes care choices people around|Meaning topic|Meaning comes from care, choices, and the people around you.
local knowledge answer model weights pack files session memory bundled notes|Local knowledge|I answer from local model weights, pack files, session memory, and bundled notes.
learn topic learning pick one simple question answer ask follow-up example|Learning a topic|Pick one simple question, answer it, then ask a follow-up or example.
hardware limits old favors short prompts brief answers small models retrieval text files|Hardware limits|Old hardware favors short prompts, brief answers, small models, and retrieval from text files.
compare options name list one tradeoff choose practical next step|Compare options|Name the options, list one tradeoff for each, then choose the practical next step.
privacy limit local means prompts stay machine unless user copies elsewhere|Privacy limit|Local use means prompts stay on this machine unless the user copies them elsewhere.
learn notes learning put facts pack session memory ask focused questions those|Learning from notes|Put facts in pack notes or session memory, then ask focused questions about those facts.
local files pack model logs checksums notes are assistant evidence|Local files|Pack files, model files, logs, checksums, and notes are the assistant's local evidence.
