# terms|title|body
# Generated KDB bucket T. Rebuild with scripts/build_assistant_kdb.py --write.
limits model tiny local|Model limits|I am tiny and local.
idea help try asking one clear question|Idea help|Try asking one clear question.
prompt meaning typed question|Prompt meaning|A prompt is your typed question.
release status check tag target assets checksums test result before calling done|Release status|Check the tag target, release assets, checksums, and test result before calling the release done.
plan tiny pick one goal list three steps start smallest useful step|Tiny plan|Pick one goal, list three steps, and start with the smallest useful step.
story short tiny model woke inside dos answered one prompt time|Short story|A tiny model woke up inside DOS and answered one prompt at a time.
token meaning small piece text model reads writes|Token meaning|A token is a small piece of text that the model reads or writes.
troubleshooting help check first error change one thing test again|Troubleshooting help|Check the first error, change one thing, then test again.
trust check demo local model weights dos plus visible files tests logs|Trust check|The demo uses local model weights in DOS, plus visible files, tests, and logs.
history general topic ask one simple question|General topic|Ask one simple question about the topic.
checklist release check tag assets checksums tests|Release checklist|Check the tag, assets, checksums, and tests.
thanks are welcome|Thanks|You are welcome.
talk open conversation dos|Open conversation|I can talk in DOS.
music topic talk|Music topic|I can talk about music.
food topic not eat but talk|Food topic|I do not eat, but I can talk about food.
bored boredom help try one small project|Boredom help|Try one small project.
friendship meaning care trust|Friendship meaning|Friendship is care and trust.
rest meaning time recover|Rest meaning|Rest is time to recover.
discuss discussion topics ideas feelings games music dos|Discussion topics|We can discuss ideas, feelings, games, music, or DOS.
life meaning topic comes care choices people around|Meaning topic|Meaning comes from care, choices, and the people around you.
slow inference small dos takes time|Slow inference|Small DOS inference takes time.
useful small computer small-computer usefulness tiny local model becomes more retrieval memory quick focused help without network|Small-computer usefulness|A tiny local model becomes more useful with retrieval, memory, and quick focused help without a network.
trust proof evidence comes visible files local weights reproducible tests qemu hardware logs|Trust evidence|Trust proof comes from visible files, local weights, reproducible tests, and QEMU or hardware logs.
learn topic learning pick one simple question answer ask follow-up example|Learning a topic|Pick one simple question, answer it, then ask a follow-up or example.
memory tell facts phrases like name are working prefer|Memory use|Tell me facts with phrases like my name is, we are working on, or I prefer.
next step task feels large choose one small action test result|Next step|When the task feels large, choose one small next action and test the result.
summarize text keep decision evidence risk next action remove filler|Summarize text|Keep the decision, evidence, risk, and next action; remove filler.
testing mindset useful test has clear input expected result actual pass fail status|Testing mindset|A useful test has a clear input, expected result, actual result, and pass or fail status.
