# terms|title|body
# Generated KDB bucket A. Rebuild with scripts/build_assistant_kdb.py --write.
are status check answer dos|Status check|I answer in DOS.
assistant abilities chat dos|Assistant abilities|I chat in DOS.
idea help try asking one clear question|Idea help|Try asking one clear question.
repeat control ask shorter question switch packs|Repeat control|If I repeat, ask a shorter question or switch packs.
weird retry advice ask shorter question switch packs needed treat strange output signal|Retry advice|Ask a shorter question, switch packs if needed, and treat strange output as a signal to retry.
history general topic ask one simple question|General topic|Ask one simple question about the topic.
checklist release check tag assets checksums tests|Release checklist|Check the tag, assets, checksums, and tests.
thanks are welcome|Thanks|You are welcome.
confused clarify request ask one short question|Clarify request|Ask one short question.
name assistant identity gpt2-basic|Assistant identity|I am GPT2-BASIC.
advice meaning suggested next step|Advice meaning|Advice is a suggested next step.
ask better prompts say goal give one detail next useful step|Better prompts|Say the goal, give one detail, and ask for the next useful step.
follow follow-up help ask one short question continue last answer|Follow-up help|Ask one short follow-up question so I can continue from the last answer.
local knowledge answer model weights pack files session memory bundled notes|Local knowledge|I answer from local model weights, pack files, session memory, and bundled notes.
intelligence practical assistant combines retrieval memory rules tiny local model produce useful dos answers|Practical intelligence|The assistant combines retrieval, memory, rules, and a tiny local model to produce useful DOS answers.
mistake recovery answer wrong ask shorter question switch packs give exact error|Mistake recovery|If an answer is wrong, ask a shorter question, switch packs, or give the exact error.
creative idea help ask one joke story plan name keep prompt short|Creative help|Ask for one joke, story, plan, name, or idea and keep the prompt short.
offline work means answer must come local files memory model weights|Offline work|Offline means the answer must come from local files, memory, and model weights.
clarify question request ask one direct only missing detail blocks useful answer|Clarify a request|Ask one direct question only when a missing detail blocks a useful answer.
answer confidence say known local files inferred remains uncertain|Answer confidence|Say what is known from local files, what is inferred, and what remains uncertain.
web access without internet cannot fetch news live facts local notes give prompt|No web access|Without internet, I cannot fetch news or live facts; use local notes or give the facts in the prompt.
usefulness useful answer brief concrete honest limits easy act|Useful answer|A useful answer should be brief, concrete, honest about limits, and easy to act on.
