# terms|title|body
# Generated by scripts/build_assistant_kdb.py from HELP.TXT and KNOW.TXT.
hello starting conversation dos|Starting a conversation|Hello from DOS.
are status check answer dos|Status check|I answer in DOS.
assistant abilities chat dos|Assistant abilities|I chat in DOS.
limits model tiny local|Model limits|I am tiny and local.
idea help try asking one clear question|Idea help|Try asking one clear question.
prompt meaning typed question|Prompt meaning|A prompt is your typed question.
explain mode plain words one example short answer fits prompt|Explain mode|Use plain words, one example, and a short answer that fits the prompt.
demo dos live|DOS demo|The demo is live.
repeat control ask shorter question switch packs|Repeat control|If I repeat, ask a shorter question or switch packs.
bug debug plan start failing command expected result first error line test one small fix|Debug plan|Start with the failing command, expected result, and first error line, then test one small fix.
local inference means dos program reads model weights produces answer machine|Local inference|Local inference means the DOS program reads model weights and produces the answer on this machine.
old computer hardware demo matters because tiny local model run dos-style without network|Old hardware|The demo matters because a tiny local model can run on old DOS-style hardware without a network.
weird retry advice ask shorter question switch packs needed treat strange output signal|Retry advice|Ask a shorter question, switch packs if needed, and treat strange output as a signal to retry.
release status check tag target assets checksums test result before calling done|Release status|Check the tag target, release assets, checksums, and test result before calling the release done.
focus help remove one distraction choose small task work few minutes before changing course|Focus help|Remove one distraction, choose one small task, and work for a few minutes before changing course.
plan tiny pick one goal list three steps start smallest useful step|Tiny plan|Pick one goal, list three steps, and start with the smallest useful step.
story short tiny model woke inside dos answered one prompt time|Short story|A tiny model woke up inside DOS and answered one prompt at a time.
token meaning small piece text model reads writes|Token meaning|A token is a small piece of text that the model reads or writes.
internet network limit cannot browse dos answer local model weights pack files|Network limit|I cannot browse the internet from DOS; I answer from local model weights and pack files.
troubleshooting help check first error change one thing test again|Troubleshooting help|Check the first error, change one thing, then test again.
overwhelmed help choose one small task take first step|Overwhelmed help|Choose one small task, then take the first step.
trust check demo local model weights dos plus visible files tests logs|Trust check|The demo uses local model weights in DOS, plus visible files, tests, and logs.
long question prompt limit short prompts work better dos demo|Long prompt limit|Short prompts work better in this DOS demo.
history general topic ask one simple question|General topic|Ask one simple question about the topic.
vintage friendly old hardware note dos computer run local model|Friendly old hardware note|This old DOS computer can run a friendly local model.
local meaning means model runs machine|Local meaning|Local means the model runs on this machine.
session memory remember only small facts during|Session memory|I remember only small facts during this session.
looped output loop control shorter prompt reset answer loops|Loop control|Use a shorter prompt and reset if the answer loops.
checklist release check tag assets checksums tests|Release checklist|Check the tag, assets, checksums, and tests.
